2023-10-03 15:42:20,923.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:20,924.Netflix_Producer.INFO Today is 2023-10-03 at 03:42 PM
2023-10-03 15:42:20,924.Netflix_Producer.INFO Running on: nt Windows 10
2023-10-03 15:42:20,925.Netflix_Producer.INFO Python version:  3.9.12
2023-10-03 15:42:20,926.Netflix_Producer.INFO Python path: C:\Users\alhal\miniconda3
2023-10-03 15:42:20,926.Netflix_Producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\Module07_Netflix
2023-10-03 15:42:20,926.Netflix_Producer.INFO ==================================================
2023-10-03 15:43:34,801.Netflix_Producer.INFO  [x] Sent b'9/4/2002,373800'
2023-10-03 15:43:35,825.Netflix_Producer.INFO  [x] Sent b'9/5/2002,0.917856991'
2023-10-03 15:43:35,834.Netflix_Producer.INFO  [x] Sent b'9/5/2002,0.917856991'
2023-10-03 15:43:35,840.Netflix_Producer.INFO  [x] Sent b'9/5/2002,285600'
2023-10-03 15:43:36,864.Netflix_Producer.INFO  [x] Sent b'9/6/2002,0.914286017'
2023-10-03 15:43:36,872.Netflix_Producer.INFO  [x] Sent b'9/6/2002,0.927856982'
2023-10-03 15:43:36,877.Netflix_Producer.INFO  [x] Sent b'9/6/2002,763000'
2023-10-03 15:43:37,891.Netflix_Producer.INFO  [x] Sent b'9/9/2002,0.901428998'
2023-10-03 15:43:37,898.Netflix_Producer.INFO  [x] Sent b'9/9/2002,0.919286013'
2023-10-03 15:43:37,904.Netflix_Producer.INFO  [x] Sent b'9/9/2002,1419600'
2023-10-03 15:43:38,944.Netflix_Producer.INFO  [x] Sent b'9/10/2002,0.944999993'
2023-10-03 15:43:38,974.Netflix_Producer.INFO  [x] Sent b'9/10/2002,0.90071398'
2023-10-03 15:43:39,005.Netflix_Producer.INFO  [x] Sent b'9/10/2002,4746000'
2023-10-03 15:43:40,028.Netflix_Producer.INFO  [x] Sent b'9/11/2002,0.961429'
